"1","AMC Star Fairlane 21","Dearborn","Michigan"
"2","Henry Ford IMAX","Dearborn","Michigan"
"3","MJR Allen Park Cinema","Allen Park","Michigan"
"4","Cinema Detroit","Detroit","Michigan"
"5","Detroit Film Theatre","Detroit","Michigan"
"6","Cineplex Odeon Devonshire Mall","Windsor","Ontario"
"7","MJR Southgate Digital Cinema 20","Southgate","Michigan"
