"1","Action"
"2","Adventure"
"3","Animated"
"4","Biography"
"5","Kids"
"6","Crime"
"7","Documentary"
"8","Drama"
"9","Fantasy"
"10","Historical Drama"
"11","Horror"
"12","Musical"
"13","Romance"
"14","Romantic Comedy"
"15","Science Fiction"
"16","Thriller"
"17","War"
"18","Western"
"19","Comedy"
"20","Mystery"
